lib/features\admin\intel\presentation\pages\store_intelligence_page.dart | ds | safe | scroll
lib/features\admin\merch\presentation\pages\admin_ad_banners_page.dart | ds | no_safe | scroll
lib/features\admin\merch\presentation\pages\admin_edit_flash_deal_page.dart | ds | no_safe | scroll
lib/features\admin\merch\presentation\pages\admin_flash_deals_page.dart | ds | no_safe | scroll
lib/features\admin\merch\presentation\pages\admin_home_section_items_page.dart | ds | no_safe | scroll
lib/features\admin\merch\presentation\pages\admin_home_sections_page.dart | ds | safe | scroll
lib/features\admin\merch\presentation\pages\admin_merch_categories_page.dart | ds | no_safe | scroll
lib/features\admin\merch\presentation\pages\admin_merch_category_products_page.dart | ds | no_safe | scroll
lib/features\admin\merch\presentation\pages\admin_reviews_page.dart | ds | no_safe | scroll
lib/features\admin\presentation\pages\admin_coupons_page.dart | old_theme | no_safe | scroll
lib/features\admin\presentation\pages\admin_login_page.dart | ds | safe | static
lib/features\admin\presentation\pages\admin_notification_sender_page.dart | ds | no_safe | scroll
lib/features\admin\presentation\pages\admin_notification_settings_page.dart | old_theme | no_safe | static
lib/features\admin\presentation\pages\admin_order_details_page.dart | old_theme | safe | scroll
lib/features\admin\presentation\pages\admin_page.dart | ds | no_safe | static
lib/features\admin\presentation\pages\dashboard_page.dart | ds | no_safe | scroll
lib/features\admin\presentation\pages\orders_page.dart | old_theme | no_safe | scroll
lib/features\admin\presentation\pages\shamcash_verification_page.dart | ds | no_safe | scroll
lib/features\admin\presentation\pages\shipping_page.dart | old_theme | no_safe | scroll
lib/features\admin\support_desk\presentation\pages\admin_support_inbox_page.dart | ds | no_safe | scroll
lib/features\admin\support_desk\presentation\pages\admin_support_ticket_page.dart | ds | no_safe | scroll
lib/features\auth\presentation\pages\customer_login_page.dart | ds | safe | static
lib/features\auth\presentation\pages\customer_register_page.dart | ds | no_safe | static
lib/features\auth\presentation\pages\forgot_password_page.dart | ds | safe | static
lib/features\auth\presentation\pages\unified_login_page.dart | ds | safe | static
lib/features\cart\presentation\pages\cart_page.dart | legacy | safe | scroll
lib/features\categories\categories_screen.dart | ds | no_safe | scroll
lib/features\categories\presentation\pages\categories_page.dart | ds | no_safe | static
lib/features\categories\presentation\pages\category_products_page.dart | ds | safe | scroll
lib/features\checkout\presentation\pages\checkout_page.dart | ds | no_safe | scroll
lib/features\checkout\presentation\pages\order_success_page.dart | old_theme | safe | static
lib/features\deals\presentation\pages\deals_page.dart | ds | no_safe | scroll
lib/features\debug\presentation\pages\debug_api_page.dart | ds | no_safe | static
lib/features\delivery\presentation\pages\assignment_decision_screen.dart | ds | no_safe | scroll
lib/features\delivery\presentation\pages\delivery_dashboard_page.dart | ds | no_safe | scroll
lib/features\home\presentation\pages\home_page.dart | ds | safe | scroll
lib/features\notifications\domain\entities\notification_entity.dart | ds | no_safe | static
lib/features\notifications\presentation\pages\notifications_page.dart | ds | no_safe | scroll
lib/features\orders\presentation\pages\invoice_viewer_page.dart | legacy | no_safe | static
lib/features\orders\presentation\pages\my_orders_page.dart | ds | no_safe | scroll
lib/features\orders\presentation\pages\order_details_page.dart | legacy | no_safe | scroll
lib/features\orders\presentation\pages\order_lookup_page.dart | ds | no_safe | static
lib/features\orders\presentation\pages\order_status_page.dart | ds | no_safe | scroll
lib/features\orders\presentation\pages\orders_page.dart | ds | no_safe | static
lib/features\orders\presentation\pages\pending_orders_page.dart | old_theme | safe | static
lib/features\orders\presentation\pages\track_order_page.dart | legacy | no_safe | static
lib/features\payment\presentation\pages\payment_page.dart | old_theme | no_safe | static
lib/features\payment\presentation\pages\sham_cash_payment_page.dart | old_theme | no_safe | static
lib/features\product\presentation\pages\product_page.dart | legacy | safe | scroll
lib/features\profile\presentation\pages\account_root_page.dart | ds | safe | static
lib/features\profile\presentation\pages\profile_page.dart | ds | no_safe | scroll
lib/features\profile\presentation\pages\profile_update_page.dart | ds | no_safe | static
lib/features\search\search_api.dart | ds | no_safe | static
lib/features\search\search_results_screen.dart | ds | safe | scroll
lib/features\search\search_screen.dart | legacy | safe | scroll
lib/features\security\presentation\pages\app_lock_reauth_page.dart | ds | safe | static
lib/features\security\presentation\pages\app_lock_screen.dart | ds | safe | static
lib/features\security\presentation\pages\enable_app_lock_flow_page.dart | ds | safe | static
lib/features\splash\presentation\pages\splash_page.dart | ds | no_safe | static
lib/features\support\presentation\pages\create_ticket_page.dart | ds | no_safe | static
lib/features\support\presentation\pages\support_page.dart | ds | no_safe | scroll
lib/features\support\presentation\pages\support_ticket_chat_page.dart | ds | safe | scroll
lib/features\support\presentation\pages\support_tickets_page.dart | ds | no_safe | scroll
lib/features\wishlist\presentation\pages\wishlist_page.dart | legacy | no_safe | scroll
